id,wikidataId,placeType,nameType,name,searchKey
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Dominion of Newfoundland,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Newfoundland and Labrador,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Provinz Terre-Neuve,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Provinz Newfoundland,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Terre Neuve et Labrador,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Terre Neuve,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Newfoundland,
https://d-nb.info/gnd/16013427-4,http://www.wikidata.org/entity/Q115441,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Provincia Sancti Spíritus,
https://d-nb.info/gnd/16013427-4,http://www.wikidata.org/entity/Q115441,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Provincia de Sancti Spíritus,
https://d-nb.info/gnd/16013427-4,http://www.wikidata.org/entity/Q115441,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Sancti Spíritus (Cuba, Provincia),
